Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL4526128,,None,582.68,2,6.02,40,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1cc(-c2ccccc2)c(=O)n2c1sc1ccc(OC3CCCCC3)cc12,IC50,'=',6800,nM,5.17,,,UO_0000065,,,,,0,CHEMBL4398332,Antiviral activity against DENV1 Djibouti infected in African green monkey Vero E6 cells after 3 to 4 days by RT-PCR analysis,F,BAO_0000218,organism-based format,dengue virus type 1,None,None,Vero C1008,None,,,,CHEMBL613360,dengue virus type 1,dengue virus type 1,ORGANISM,CHEMBL4396891,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL4295411,,,,6.8
CHEMBL2332247,,None,409.49,0,2.12,14,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1cc(-c2ccccc2)c(=O)n2c1sc1ccc(OC3CCCCC3)cc13,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL2341565,Antiviral activity against Dengue virus 1 strain TH-S-MAN in Vero cells assessed as inhibition of virus-induced cytopathogenicity after 4 to 6 days,F,BAO_0000218,organism-based format,dengue virus type 1,None,None,Vero,None,,,,CHEMBL613360,dengue virus type 1,dengue virus type 1,ORGANISM,CHEMBL2331182,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3307520,,,,100
CHEMBL5188815,,None,426.43,1,-0.1,EB-0281,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1cc(-c2ccccc2)c(=O)n2c1sc1ccc(OC3CCCCC3)cc14,IC50,'=',61440,nM,4.21,,,UO_0000065,,,,,0,CHEMBL5152257,Antiviral activity against DENV New Guinea C strain infected in African green monkey Vero cells assessed as reduction in viral infection measured after 5 days by plaque assay,F,BAO_0000218,organism-based format,dengue virus type 1,None,None,Vero,None,,,,CHEMBL613360,dengue virus type 1,dengue virus type 1,ORGANISM,CHEMBL5150012,1,Scientific Literature,J Med Chem,2021,None,TIME = 120.0 hr,,,61.44
CHEMBL5173263,,None,480.52,2,-0.68,EB-0156,O=[N+]([O-])c1cc(-n2nccn2)ccc1NCCCCCCN[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,IC50,'=',18190,nM,4.74,,,UO_0000065,,,,,0,CHEMBL5152257,Antiviral activity against DENV New Guinea C strain infected in African green monkey Vero cells assessed as reduction in viral infection measured after 5 days by plaque assay,F,BAO_0000218,organism-based format,dengue virus type 1,None,None,Vero,None,,,,CHEMBL613360,dengue virus type 1,dengue virus type 1,ORGANISM,CHEMBL5150012,1,Scientific Literature,J Med Chem,2021,None,TIME = 120.0 hr,,,18.19
CHEMBL4538527,,None,312.19,None,None,6,C#Cc1c(C#N)ncn1[C@@H]1[Se][C@H](CO)[C@@H](O)[C@H]1O,IC50,'=',22290,nM,4.65,,,UO_0000065,,,,,0,CHEMBL4393434,Antiviral activity against Dengue virus 1 DGL2 replicon infected in BHK cells assessed as inhibition of viral replicon RNA replication incubated for 72 hrs by Gaussia-luciferase reporter gene assay,F,BAO_0000218,organism-based format,dengue virus type 1,None,None,None,None,,,,CHEMBL613360,dengue virus type 1,dengue virus type 1,ORGANISM,CHEMBL4392858,1,Scientific Literature,Bioorg Med Chem,2019,None,,,,22.29
CHEMBL4459190,,None,283.31,0,-1.71,3,C#Cc1c(C(N)=O)ncn1[C@@H]1S[C@H](CO)[C@@H](O)[C@H]1O,IC50,'=',14630,nM,4.83,,,UO_0000065,,,,,0,CHEMBL4393434,Antiviral activity against Dengue virus 1 DGL2 replicon infected in BHK cells assessed as inhibition of viral replicon RNA replication incubated for 72 hrs by Gaussia-luciferase reporter gene assay,F,BAO_0000218,organism-based format,dengue virus type 1,None,None,None,None,,,,CHEMBL613360,dengue virus type 1,dengue virus type 1,ORGANISM,CHEMBL4392858,1,Scientific Literature,Bioorg Med Chem,2019,None,,,,14.63
CHEMBL5186609,,None,481.51,2,-1.29,EB-0152,O=[N+]([O-])c1cc(-n2cnnn2)ccc1NCCCCCCN[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,IC50,'>',1000000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL5152257,Antiviral activity against DENV New Guinea C strain infected in African green monkey Vero cells assessed as reduction in viral infection measured after 5 days by plaque assay,F,BAO_0000218,organism-based format,dengue virus type 1,None,None,Vero,None,,,,CHEMBL613360,dengue virus type 1,dengue virus type 1,ORGANISM,CHEMBL5150012,1,Scientific Literature,J Med Chem,2021,None,TIME = 120.0 hr,,,1000
CHEMBL5197404,,None,430.31,1,5.76,88a,FC(F)(F)Oc1ccc(Nc2ccnc(Nc3cccc(OC(F)(F)F)c3)n2)cc1,IC50,'=',4000,nM,5.4,,,UO_0000065,,,,,0,CHEMBL5109270,Antiviral activity against DENV1 infected in hamster BHK-21 cells assessed as inhibition of virus induced cytopathic effect incubated for 45 mins by focus-formation assay,F,BAO_0000218,organism-based format,dengue virus type 1,None,None,BHK-21,None,,,,CHEMBL613360,dengue virus type 1,dengue virus type 1,ORGANISM,CHEMBL5107980,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.75 hr,,,4
CHEMBL5092408,,None,325.41,0,2.21,4,CN1C[C@H]2C[C@@H](C1)c1ccc(NCc3ccc(O)cc3)c(=O)n1C2,IC50,'=',970,nM,6.01,,,UO_0000065,,,,,0,CHEMBL5032290,Antiviral activity against DENV1 infected in African green monkey Vero E6 cells assessed as inhibition of virus induced cytopathic effect measured after 96 hrs by immunofluorescent staining based inverted microscopic analysis,F,BAO_0000218,organism-based format,dengue virus type 1,None,None,Vero E6,None,,,,CHEMBL613360,dengue virus type 1,dengue virus type 1,ORGANISM,CHEMBL5030562,1,Scientific Literature,Bioorg Med Chem Lett,2021,None,TIME = 96.0 hr,,,0.97
CHEMBL5077292,,None,476.54,0,1.51,20,Cn1cc(CNc2ccc3n(c2=O)C[C@@H]2C[C@H]3CN(C(=O)Nc3ccccc3)C2)c(=O)n(C)c1=O,IC50,'=',490,nM,6.31,,,UO_0000065,,,,,0,CHEMBL5032290,Antiviral activity against DENV1 infected in African green monkey Vero E6 cells assessed as inhibition of virus induced cytopathic effect measured after 96 hrs by immunofluorescent staining based inverted microscopic analysis,F,BAO_0000218,organism-based format,dengue virus type 1,None,None,Vero E6,None,,,,CHEMBL613360,dengue virus type 1,dengue virus type 1,ORGANISM,CHEMBL5030562,1,Scientific Literature,Bioorg Med Chem Lett,2021,None,TIME = 96.0 hr,,,0.49
